Region,日内小时,AI_IT_Load_MW,AvailableRenewable_MW,Curtailment_MW
RegionA,0,8.793828382838273,540.19,414.85877177673274
RegionA,1,5.972600660066012,587.87,461.07121732227637
RegionA,2,5.244706270627064,650.0,575.6197559405905
RegionA,3,5.314488448844878,722.35,648.050366336631
RegionA,4,5.038577557755766,800.0,726.3803920792085
RegionA,5,6.102316831683227,877.65,803.4034574257421
RegionA,6,5.94453465346532,950.0,875.6923554455451
RegionA,7,4.187266666666638,1012.13,944.0820349999979
RegionA,8,3.7743199999999906,1059.81,991.5972179999986
RegionA,9,3.439433333333278,1089.78,1017.5752010000012
RegionA,10,3.8246366666666756,1100.0,1024.039163
RegionA,11,4.3541200000000035,1089.78,1013.2272044999986
RegionA,12,3.6834733333333314,1059.81,986.5966225000012
RegionA,13,2.711560000000067,1012.13,942.116249999999
RegionA,14,0.7939866666666434,950.0,885.4236160000005
RegionA,15,0.4415066666666689,877.65,819.7793610000001
RegionA,16,0.03362666666666696,800.0,750.332367
RegionA,17,0.0,722.35,677.7449099999999
RegionA,18,0.017,650.0,607.729169
RegionA,19,0.5156799999999998,587.87,546.8859035
RegionA,20,1.2443999999999982,540.19,499.03846600000094
RegionA,21,3.8749699999999963,510.22,462.5803265
RegionA,22,6.123233333333319,500.0,391.72510799999776
RegionA,23,8.538283333333315,510.22,393.8680764999996
RegionB,0,7.200646864686515,540.19,408.70435345990137
RegionB,1,6.2959042904290605,587.87,452.076956935148
RegionB,2,5.923161716171594,650.0,561.3947277272251
RegionB,3,6.099062706270629,722.35,634.3268143564351
RegionB,4,6.350082508250857,800.0,712.1340470242575
RegionB,5,6.205465346534643,877.65,789.4559836633676
RegionB,6,7.924897689769018,950.0,860.2831034653448
RegionB,7,5.985343333333361,1012.13,928.1862349999974
RegionB,8,5.10022666666671,1059.81,976.5298365
RegionB,9,4.278953333333391,1089.78,1003.0510839999992
RegionB,10,4.743749999999988,1100.0,1009.0193574999992
RegionB,11,5.803563333333314,1089.78,996.8717584999987
RegionB,12,6.985373333333298,1059.81,968.8276579999995
RegionB,13,7.354213333333359,1012.13,923.1692634999999
RegionB,14,7.055113333333295,950.0,865.1881245
RegionB,15,5.130786666666638,877.65,802.3288259999987
RegionB,16,1.3244233333333062,800.0,738.3504895
RegionB,17,0.1642700000000014,722.35,668.1227785000004
RegionB,18,0.0,650.0,598.944165
RegionB,19,0.0,587.87,538.735266
RegionB,20,0.5651466666666678,540.19,489.56993
RegionB,21,1.3984833333333342,510.22,454.2793614999991
RegionB,22,5.6977166666666585,500.0,384.8922925000009
RegionB,23,6.595239999999974,510.22,389.02294899999913
